Training with hyperparameters: alpha=0, lambda=0.0001
Training data: data/acic/acic_1-10_train_setting_69.npz
Test data:     data/acic/acic_1-10_test_setting_69.npz
Loaded data with shape [3601,55]
Defining graph...

Training on experiment 1/10...
0	Obj: 43.754,	F: 7.065,	Cf: 6.525,	Imb: 0.046,	Val: 7.940,	ValImb: 0.048,	ValObj: 55.52
100	Obj: 21.028,	F: 5.143,	Cf: 5.399,	Imb: 0.17,	Val: 6.109,	ValImb: 0.2,	ValObj: 30.56
200	Obj: 14.185,	F: 4.300,	Cf: 4.903,	Imb: 0.11,	Val: 5.512,	ValImb: 0.11,	ValObj: 24.35
300	Obj: 10.351,	F: 3.644,	Cf: 4.209,	Imb: 0.094,	Val: 4.853,	ValImb: 0.097,	ValObj: 19.29
400	Obj: 9.736,	F: 3.530,	Cf: 4.269,	Imb: 0.099,	Val: 4.826,	ValImb: 0.1,	ValObj: 19.01
500	Obj: 9.280,	F: 3.426,	Cf: 4.078,	Imb: 0.095,	Val: 4.722,	ValImb: 0.099,	ValObj: 18.46
600	Obj: 8.922,	F: 3.352,	Cf: 4.074,	Imb: 0.16,	Val: 4.702,	ValImb: 0.16,	ValObj: 18.22
700	Obj: 7.871,	F: 3.156,	Cf: 3.951,	Imb: 0.15,	Val: 4.558,	ValImb: 0.16,	ValObj: 17.13
800	Obj: 7.360,	F: 3.058,	Cf: 3.845,	Imb: 0.15,	Val: 4.456,	ValImb: 0.15,	ValObj: 16.43
900	Obj: 8.150,	F: 3.175,	Cf: 3.848,	Imb: 0.15,	Val: 4.480,	ValImb: 0.15,	ValObj: 16.76
1000	Obj: 7.051,	F: 2.994,	Cf: 3.750,	Imb: 0.14,	Val: 4.414,	ValImb: 0.15,	ValObj: 16.11
1100	Obj: 7.020,	F: 2.989,	Cf: 3.820,	Imb: 0.12,	Val: 4.434,	ValImb: 0.12,	ValObj: 16.29
1200	Obj: 6.551,	F: 2.888,	Cf: 3.722,	Imb: 0.12,	Val: 4.318,	ValImb: 0.12,	ValObj: 15.41
1300	Obj: 6.381,	F: 2.858,	Cf: 3.715,	Imb: 0.11,	Val: 4.309,	ValImb: 0.12,	ValObj: 15.32
1400	Obj: 6.517,	F: 2.870,	Cf: 3.691,	Imb: 0.12,	Val: 4.325,	ValImb: 0.13,	ValObj: 15.52
1500	Obj: 6.521,	F: 2.883,	Cf: 3.775,	Imb: 0.11,	Val: 4.414,	ValImb: 0.11,	ValObj: 16.13
1600	Obj: 6.043,	F: 2.762,	Cf: 3.673,	Imb: 0.1,	Val: 4.297,	ValImb: 0.11,	ValObj: 15.36
1700	Obj: 6.273,	F: 2.824,	Cf: 3.770,	Imb: 0.1,	Val: 4.334,	ValImb: 0.11,	ValObj: 15.59
1800	Obj: 6.371,	F: 2.815,	Cf: 3.791,	Imb: 0.12,	Val: 4.409,	ValImb: 0.12,	ValObj: 16.26
1900	Obj: 5.412,	F: 2.615,	Cf: 3.697,	Imb: 0.11,	Val: 4.281,	ValImb: 0.12,	ValObj: 15.33
2000	Obj: 5.348,	F: 2.604,	Cf: 3.528,	Imb: 0.12,	Val: 4.164,	ValImb: 0.12,	ValObj: 14.37
2100	Obj: 4.919,	F: 2.497,	Cf: 3.643,	Imb: 0.12,	Val: 4.177,	ValImb: 0.12,	ValObj: 14.56
2200	Obj: 4.667,	F: 2.441,	Cf: 3.588,	Imb: 0.11,	Val: 4.162,	ValImb: 0.11,	ValObj: 14.46
2300	Obj: 4.583,	F: 2.399,	Cf: 3.547,	Imb: 0.11,	Val: 4.108,	ValImb: 0.11,	ValObj: 14.13
2400	Obj: 4.643,	F: 2.424,	Cf: 3.528,	Imb: 0.1,	Val: 4.158,	ValImb: 0.1,	ValObj: 14.45
2500	Obj: 4.543,	F: 2.419,	Cf: 3.542,	Imb: 0.11,	Val: 4.127,	ValImb: 0.11,	ValObj: 14.14
2600	Obj: 5.606,	F: 2.674,	Cf: 3.608,	Imb: 0.11,	Val: 4.226,	ValImb: 0.11,	ValObj: 14.89
2700	Obj: 3.823,	F: 2.205,	Cf: 3.476,	Imb: 0.12,	Val: 4.048,	ValImb: 0.12,	ValObj: 13.70
2800	Obj: 4.264,	F: 2.317,	Cf: 3.526,	Imb: 0.1,	Val: 4.138,	ValImb: 0.1,	ValObj: 14.25
2900	Obj: 3.752,	F: 2.179,	Cf: 3.488,	Imb: 0.11,	Val: 4.030,	ValImb: 0.11,	ValObj: 13.56
2999	Obj: 5.663,	F: 2.670,	Cf: 3.716,	Imb: 0.097,	Val: 4.280,	ValImb: 0.1,	ValObj: 15.10
Saving result to results/acic/setting_69/results_20220103_133955-155581/...

Training on experiment 2/10...
0	Obj: 24.284,	F: 5.473,	Cf: 5.724,	Imb: 0.037,	Val: 5.766,	ValImb: 0.035,	ValObj: 26.93
100	Obj: 20.608,	F: 5.001,	Cf: 5.030,	Imb: 0.057,	Val: 5.254,	ValImb: 0.058,	ValObj: 22.72
200	Obj: 18.783,	F: 4.738,	Cf: 4.514,	Imb: 0.068,	Val: 5.007,	ValImb: 0.069,	ValObj: 20.95
300	Obj: 19.922,	F: 4.916,	Cf: 4.941,	Imb: 0.037,	Val: 5.221,	ValImb: 0.036,	ValObj: 22.43
400	Obj: 13.732,	F: 4.060,	Cf: 4.220,	Imb: 0.099,	Val: 4.382,	ValImb: 0.11,	ValObj: 15.97
500	Obj: 13.394,	F: 4.020,	Cf: 3.913,	Imb: 0.11,	Val: 4.319,	ValImb: 0.11,	ValObj: 15.44
600	Obj: 6.698,	F: 2.874,	Cf: 3.153,	Imb: 0.12,	Val: 3.108,	ValImb: 0.13,	ValObj: 7.82
700	Obj: 5.214,	F: 2.535,	Cf: 2.718,	Imb: 0.12,	Val: 2.698,	ValImb: 0.13,	ValObj: 5.90
800	Obj: 4.401,	F: 2.317,	Cf: 2.509,	Imb: 0.13,	Val: 2.523,	ValImb: 0.14,	ValObj: 5.21
900	Obj: 4.081,	F: 2.239,	Cf: 2.465,	Imb: 0.13,	Val: 2.420,	ValImb: 0.14,	ValObj: 4.75
1000	Obj: 3.991,	F: 2.207,	Cf: 2.395,	Imb: 0.13,	Val: 2.370,	ValImb: 0.15,	ValObj: 4.60
1100	Obj: 4.207,	F: 2.269,	Cf: 2.452,	Imb: 0.13,	Val: 2.442,	ValImb: 0.14,	ValObj: 4.85
1200	Obj: 3.270,	F: 2.001,	Cf: 2.274,	Imb: 0.15,	Val: 2.270,	ValImb: 0.16,	ValObj: 4.21
1300	Obj: 5.071,	F: 2.473,	Cf: 2.622,	Imb: 0.13,	Val: 2.625,	ValImb: 0.15,	ValObj: 5.68
1400	Obj: 2.975,	F: 1.914,	Cf: 2.282,	Imb: 0.14,	Val: 2.210,	ValImb: 0.15,	ValObj: 3.96
1500	Obj: 2.790,	F: 1.854,	Cf: 2.168,	Imb: 0.15,	Val: 2.124,	ValImb: 0.16,	ValObj: 3.66
1600	Obj: 3.107,	F: 1.952,	Cf: 2.267,	Imb: 0.15,	Val: 2.184,	ValImb: 0.16,	ValObj: 3.85
1700	Obj: 3.800,	F: 2.146,	Cf: 2.398,	Imb: 0.16,	Val: 2.369,	ValImb: 0.17,	ValObj: 4.61
1800	Obj: 2.829,	F: 1.853,	Cf: 2.190,	Imb: 0.17,	Val: 2.165,	ValImb: 0.18,	ValObj: 3.85
1900	Obj: 2.433,	F: 1.726,	Cf: 2.110,	Imb: 0.17,	Val: 2.020,	ValImb: 0.18,	ValObj: 3.32
2000	Obj: 2.256,	F: 1.665,	Cf: 2.062,	Imb: 0.17,	Val: 2.007,	ValImb: 0.18,	ValObj: 3.28
2100	Obj: 2.890,	F: 1.877,	Cf: 2.210,	Imb: 0.17,	Val: 2.153,	ValImb: 0.18,	ValObj: 3.77
2200	Obj: 2.208,	F: 1.648,	Cf: 2.051,	Imb: 0.19,	Val: 2.043,	ValImb: 0.2,	ValObj: 3.39
2300	Obj: 3.061,	F: 1.953,	Cf: 2.257,	Imb: 0.18,	Val: 2.225,	ValImb: 0.19,	ValObj: 3.98
2400	Obj: 2.118,	F: 1.611,	Cf: 2.034,	Imb: 0.18,	Val: 1.984,	ValImb: 0.2,	ValObj: 3.21
2500	Obj: 2.401,	F: 1.719,	Cf: 2.203,	Imb: 0.19,	Val: 2.073,	ValImb: 0.21,	ValObj: 3.49
2600	Obj: 1.821,	F: 1.499,	Cf: 2.005,	Imb: 0.19,	Val: 1.913,	ValImb: 0.2,	ValObj: 2.97
2700	Obj: 1.934,	F: 1.542,	Cf: 2.033,	Imb: 0.19,	Val: 1.961,	ValImb: 0.2,	ValObj: 3.13
2800	Obj: 2.352,	F: 1.704,	Cf: 2.220,	Imb: 0.19,	Val: 2.087,	ValImb: 0.2,	ValObj: 3.55
2900	Obj: 1.784,	F: 1.486,	Cf: 1.978,	Imb: 0.21,	Val: 1.953,	ValImb: 0.22,	ValObj: 3.10
2999	Obj: 1.711,	F: 1.452,	Cf: 1.958,	Imb: 0.19,	Val: 1.905,	ValImb: 0.2,	ValObj: 2.95
Saving result to results/acic/setting_69/results_20220103_133955-155581/...

Training on experiment 3/10...
0	Obj: 78.886,	F: 9.509,	Cf: 9.339,	Imb: 0.037,	Val: 9.248,	ValImb: 0.034,	ValObj: 75.37
100	Obj: 21.581,	F: 5.217,	Cf: 5.131,	Imb: 0.00085,	Val: 4.745,	ValImb: 0.0008,	ValObj: 17.50
